Y;X1;X2
11502,4831;-1,057132499;-1,690533271
11502,4831;-1,039344547;-1,635108769
11502,4831;-1,024972843;-1,579684267
11502,4831;-1,003289384;-1,524250118
11502,4831;-0,99324036;-1,468825617
11502,4831;-0,989410613;-1,413401115
11502,4831;-0,943696474;-1,357966966
11502,4831;-0,92733192;-1,302542464
11502,4831;-0,910488103;-1,247117963
11502,4831;-0,891358643;-1,191693461
11502,4831;-0,882124237;-1,136259312
11505,35872;-0,83367921;-1,08083481
31275,25154;-0,8394172;-1,025410309
51045,14437;-0,867422008;-0,96997616
70815,0372;-0,854824392;-0,914551658
90584,93002;-0,924734594;-0,859127157
110354,8228;-0,906663138;-0,803693007
130124,7157;-0,855526694;-0,748268506
149894,6085;-0,813884567;-0,692844004
169664,5013;-0,764858762;-0,637419503
189434,3941;-0,714431455;-0,581985354
209204,287;-0,669939876;-0,526560852
228974,1798;-0,749938554;-0,47113635
248744,0726;-0,782367021;-0,415702201
268513,9655;-0,75717496;-0,3602777
288283,8583;-0,731548344;-0,304853198
308053,7511;-0,695802409;-0,249419049
327823,6439;-0,650549822;-0,193994547
347593,5368;-0,595776876;-0,138570046
367363,4296;-0,516342264;-0,083145544
387133,3224;-0,487009762;-0,027711395
406903,2152;-0,416048616;0,027713107
426673,1081;-0,306591717;0,083137608
446443,0009;-0,23479609;0,138571757
466212,8937;-0,176372355;0,193996259
485982,7865;-0,067396536;0,249420761
505752,6794;0,023004668;0,30485491
525522,5722;0,127912719;0,360279411
545292,465;0,191636487;0,415703913
565062,3578;0,187291515;0,471128414
584832,2507;0,266019506;0,526562564
604602,1435;0,318448257;0,581987065
624372,0363;0,373366791;0,637411567
644141,9291;0,456950418;0,692845716
663911,822;0,580638128;0,748270217
683681,7148;0,696030344;0,803694719
703451,6076;0,822613479;0,859128868
723221,5004;0,937289781;0,91455337
742991,3933;1,025716999;0,969977871
762761,2861;0,998638438;1,025402373
782531,1789;1,138779306;1,080836522
802301,0717;1,296557289;1,136261024
822070,9646;1,462309106;1,191685525
841840,8574;1,55688497;1,247119674
861610,7502;1,609824436;1,302544176
881380,643;1,67451356;1,357968678
901150,5359;1,728345341;1,413402827
920920,4287;1,770767909;1,468827328
940690,3215;1,897133099;1,52425183
960460,2143;1,922509966;1,579676332
980230,1072;1,724106698;1,635110481
1000000;2,088197634;1,690539806 
